station_id,waveform_id,phase_time,phase_type,phase_score,phase_amplitude
QJ02,QJ.QJ02.20221119.120038072,2022-11-19 12:08:31.220,S,0.004273504273504203,362.5745544433594
QJ02,QJ.QJ02.20221119.120038073,2022-11-19 12:10:11.600,S,0.029914529914530016,690.12646484375
QJ02,QJ.QJ02.20221119.120038074,2022-11-19 12:15:25.320,P,0.1837606837606839,794.995849609375
QJ02,QJ.QJ02.20221119.120038074,2022-11-19 12:15:30.000,S,0.11538461538461538,794.995849609375
QJ02,QJ.QJ02.20221119.120038075,2022-11-19 12:19:02.420,P,0.04700854700854703,1961.0933837890625
QJ02,QJ.QJ02.20221119.120038075,2022-11-19 12:19:03.480,S,0.051282051282051336,1961.0933837890625
QJ02,QJ.QJ02.20221119.120038076,2022-11-19 12:21:00.990,P,0.1282051282051283,2436.773193359375
QJ02,QJ.QJ02.20221119.120038076,2022-11-19 12:21:01.960,S,0.09401709401709406,1414.099853515625
QJ02,QJ.QJ02.20221119.130038077,2022-11-19 12:26:39.990,P,0.3461538461538462,11.443031311035156
QJ02,QJ.QJ02.20221119.130038077,2022-11-19 12:25:11.200,S,0.18803418803418812,492.3049621582031
QJ02,QJ.QJ02.20221119.130038079,2022-11-19 12:30:37.980,P,0.08974358974358987,808.7543334960938
QJ02,QJ.QJ02.20221119.130038079,2022-11-19 12:30:39.440,S,0.07264957264957264,186.08078002929688
QJ02,QJ.QJ02.20221119.130038080,2022-11-19 12:35:26.440,P,0.03418803418803422,205.70152282714844
QJ02,QJ.QJ02.20221119.130038080,2022-11-19 12:35:27.420,S,0.004273504273504203,174.9136962890625
QJ02,QJ.QJ02.20221119.130038082,2022-11-19 12:43:19.990,P,0.1666666666666667,81.09458923339844
QJ02,QJ.QJ02.20221119.130038082,2022-11-19 12:40:31.360,S,0.01709401709401711,698.1260986328125
QJ02,QJ.QJ02.20221119.130038084,2022-11-19 12:49:05.760,S,0.06837606837606844,534.2142333984375
QJ02,QJ.QJ02.20221119.130038085,2022-11-19 12:51:53.490,P,0.025641025641025716,1950.451416015625
QJ02,QJ.QJ02.20221119.130038085,2022-11-19 12:51:54.320,S,0.07692307692307694,1950.451416015625
QJ02,QJ.QJ02.20221119.130038086,2022-11-19 12:54:28.870,P,0.08119658119658117,343.16046142578125
QJ02,QJ.QJ02.20221119.130038086,2022-11-19 12:53:35.200,S,0.025641025641025716,1470.558349609375
QJ02,QJ.QJ02.20221119.130038087,2022-11-19 12:56:53.920,P,0.1666666666666667,1418.0953369140625
QJ02,QJ.QJ02.20221119.130038087,2022-11-19 12:57:56.480,S,0.004273504273504203,311.7872619628906
QJ02,QJ.QJ02.20221119.130038088,2022-11-19 13:00:29.770,P,0.23931623931623947,1192.50732421875
QJ02,QJ.QJ02.20221119.130038088,2022-11-19 13:00:31.990,S,0.11965811965811979,853.9989624023438
QJ02,QJ.QJ02.20221119.130038090,2022-11-19 13:07:32.180,P,0.04273504273504273,809.6692504882812
QJ02,QJ.QJ02.20221119.130038090,2022-11-19 13:07:32.930,S,0.01709401709401711,133.59400939941406
QJ02,QJ.QJ02.20221119.130038091,2022-11-19 13:12:07.700,P,0.08974358974358987,172.9610595703125
QJ02,QJ.QJ02.20221119.130038091,2022-11-19 13:12:09.660,S,0.10256410256410267,115.24483489990234
QJ02,QJ.QJ02.20221119.130038092,2022-11-19 13:14:19.830,P,0.13247863247863248,633.53466796875
QJ02,QJ.QJ02.20221119.130038092,2022-11-19 13:16:39.990,S,0.08119658119658117,12.302911758422852
QJ02,QJ.QJ02.20221119.130038094,2022-11-19 13:21:56.420,P,0.13247863247863248,133.71273803710938
QJ02,QJ.QJ02.20221119.130038094,2022-11-19 13:20:16.970,S,0.1666666666666667,796.3984985351562
QJ02,QJ.QJ02.20221119.140038095,2022-11-19 13:24:31.480,P,0.051282051282051336,157.29977416992188
QJ02,QJ.QJ02.20221119.140038095,2022-11-19 13:24:33.340,S,0.11538461538461538,157.29977416992188
QJ02,QJ.QJ02.20221119.140038096,2022-11-19 13:29:09.360,P,0.03418803418803422,283.8677978515625
QJ02,QJ.QJ02.20221119.140038096,2022-11-19 13:29:13.610,S,0.025641025641025716,283.8677978515625
QJ02,QJ.QJ02.20221119.140038097,2022-11-19 13:30:09.900,P,0.10256410256410267,77.49129486083984
QJ02,QJ.QJ02.20221119.140038097,2022-11-19 13:31:03.520,S,0.04273504273504273,33.904720306396484
QJ02,QJ.QJ02.20221119.140038098,2022-11-19 13:34:03.730,P,0.20512820512820523,141.00741577148438
QJ02,QJ.QJ02.20221119.140038098,2022-11-19 13:34:05.460,S,0.1410256410256411,79.6016845703125
QJ02,QJ.QJ02.20221119.140038100,2022-11-19 13:42:36.460,P,0.20940170940170946,751.7390747070312
QJ02,QJ.QJ02.20221119.140038100,2022-11-19 13:42:38.400,S,0.25213675213675224,299.98602294921875
QJ02,QJ.QJ02.20221119.140038102,2022-11-19 13:49:31.300,P,0.06410256410256425,136.22933959960938
QJ02,QJ.QJ02.20221119.140038102,2022-11-19 13:49:32.860,S,0.029914529914530016,42.56446838378906
QJ02,QJ.QJ02.20221119.140038104,2022-11-19 13:55:36.240,P,0.029914529914530016,946.7800903320312
QJ02,QJ.QJ02.20221119.140038104,2022-11-19 13:56:21.240,S,0.03418803418803422,1843.6597900390625
QJ02,QJ.QJ02.20221119.140038105,2022-11-19 13:57:27.780,S,0.055555555555555636,30.03931427001953
QJ02,QJ.QJ02.20221119.140038106,2022-11-19 14:01:34.150,P,0.01709401709401711,84.14684295654297
QJ02,QJ.QJ02.20221119.140038106,2022-11-19 14:02:39.030,S,0.08974358974358987,288.03076171875
QJ02,QJ.QJ02.20221119.140038107,2022-11-19 14:03:45.880,P,0.14529914529914542,516.5740966796875
